model,month,rows,MAE,RMSE,WAPE_pct,mean_bias
seasonal_naive_lag_12,1,200,2373.255000,3784.991057,30.803272,-1309.235000
seasonal_naive_lag_12,2,200,3239.705000,5377.083267,32.476194,-1898.445000
seasonal_naive_lag_12,3,200,5111.805000,7783.594728,37.558274,-1975.425000
seasonal_naive_lag_12,4,200,7733.325000,13126.906231,37.147131,-3764.475000
seasonal_naive_lag_12,5,200,4406.650000,8337.288303,22.797708,-3169.060000
seasonal_naive_lag_12,6,200,4969.385000,12349.937118,24.749474,-4192.985000
seasonal_naive_lag_12,7,200,4406.860000,9824.334789,12.550072,-1419.300000
seasonal_naive_lag_12,8,200,4546.610000,9786.074588,9.295252,-1591.110000
seasonal_naive_lag_12,9,200,4360.335000,11711.511543,18.623763,-2736.035000
seasonal_naive_lag_12,10,200,5677.950000,11711.175651,28.124891,-2930.750000
seasonal_naive_lag_12,11,150,2120.240000,3047.279477,16.923263,-961.493333
seasonal_naive_lag_12,12,200,4632.060000,7681.996767,27.842396,-3034.590000
