model,territory_id,territory_name,rows,MAE,RMSE,WAPE_pct,mean_bias
seasonal_naive_lag_12,ES-PROV-01,Araba/Álava,47,1576.361702,2224.470642,22.104638,-1000.531915
seasonal_naive_lag_12,ES-PROV-02,Albacete,47,3898.382979,5242.761851,19.134187,-2449.276596
seasonal_naive_lag_12,ES-PROV-03,Alicante/Alacant,47,1632.978723,2141.163802,16.128964,-467.319149
seasonal_naive_lag_12,ES-PROV-04,Almería,47,1991.765957,2460.582793,29.748350,-1088.531915
seasonal_naive_lag_12,ES-PROV-05,Ávila,47,6353.553191,9096.990013,22.804330,-2577.893617
seasonal_naive_lag_12,ES-PROV-06,Badajoz,47,2303.659574,2904.424827,21.464482,-1802.553191
seasonal_naive_lag_12,ES-PROV-07,"Balears, Illes",47,28243.063830,45233.435705,22.459058,-26376.127660
seasonal_naive_lag_12,ES-PROV-08,Barcelona,47,5546.510638,7745.194159,16.345077,-3418.085106
seasonal_naive_lag_12,ES-PROV-09,Burgos,47,6010.595745,8156.454893,25.041840,-4346.595745
seasonal_naive_lag_12,ES-PROV-10,Cáceres,47,7969.489362,11447.608030,22.248833,-4559.319149
seasonal_naive_lag_12,ES-PROV-11,Cádiz,47,1448.744681,1759.172950,23.064338,-788.404255
seasonal_naive_lag_12,ES-PROV-12,Castellón/Castelló,47,2299.829787,2766.257484,21.803336,-654.893617
seasonal_naive_lag_12,ES-PROV-13,Ciudad Real,47,2188.744681,2877.593258,25.831603,-745.382979
seasonal_naive_lag_12,ES-PROV-14,Córdoba,47,2448.319149,3211.550785,27.874646,-262.659574
seasonal_naive_lag_12,ES-PROV-15,"Coruña, A",47,2235.021277,3239.816661,20.928458,-1754.255319
seasonal_naive_lag_12,ES-PROV-16,Cuenca,47,3807.212766,4538.376251,24.782216,-2435.851064
seasonal_naive_lag_12,ES-PROV-17,Girona,47,7635.744681,10750.920523,16.519887,-4148.297872
seasonal_naive_lag_12,ES-PROV-18,Granada,47,2465.808511,3210.866162,29.327527,-1166.148936
seasonal_naive_lag_12,ES-PROV-19,Guadalajara,47,3589.319149,4816.055882,23.075587,-2729.063830
seasonal_naive_lag_12,ES-PROV-20,Gipuzkoa,47,3736.617021,5071.716158,18.191338,-2364.276596
seasonal_naive_lag_12,ES-PROV-21,Huelva,47,2764.404255,3501.766457,29.100100,-836.361702
seasonal_naive_lag_12,ES-PROV-22,Huesca,47,6236.489362,8671.978438,22.283946,-2577.765957
seasonal_naive_lag_12,ES-PROV-23,Jaén,47,1831.659574,2475.231947,22.144880,-464.851064
seasonal_naive_lag_12,ES-PROV-24,León,47,4796.893617,6669.689501,22.200318,-1748.340426
seasonal_naive_lag_12,ES-PROV-25,Lleida,47,4424.957447,6027.689461,21.689973,-1198.531915
seasonal_naive_lag_12,ES-PROV-26,"Rioja, La",47,1744.872340,2346.554908,25.974820,-807.510638
seasonal_naive_lag_12,ES-PROV-27,Lugo,47,1870.829787,2821.812474,23.662144,-965.042553
seasonal_naive_lag_12,ES-PROV-28,Madrid,47,3514.744681,4986.614365,14.985449,-697.212766
seasonal_naive_lag_12,ES-PROV-29,Málaga,47,13228.255319,17067.608988,21.755248,-10074.638298
seasonal_naive_lag_12,ES-PROV-30,Murcia,47,2882.340426,3499.931446,29.922648,-939.276596
seasonal_naive_lag_12,ES-PROV-31,Navarra,47,8575.680851,12582.125132,21.464309,-2939.170213
seasonal_naive_lag_12,ES-PROV-32,Ourense,47,1279.872340,1691.821089,25.079842,-241.106383
seasonal_naive_lag_12,ES-PROV-33,Asturias,47,15567.085106,21342.572030,19.134786,-4182.446809
seasonal_naive_lag_12,ES-PROV-34,Palencia,47,2064.574468,2812.296355,21.141582,-917.382979
seasonal_naive_lag_12,ES-PROV-35,"Palmas, Las",47,1656.000000,2251.636918,22.053098,-969.063830
seasonal_naive_lag_12,ES-PROV-36,Pontevedra,47,1882.936170,2695.046291,21.075820,-682.765957
seasonal_naive_lag_12,ES-PROV-37,Salamanca,47,3406.000000,5101.480240,20.929500,-1534.468085
seasonal_naive_lag_12,ES-PROV-38,Santa Cruz de Tenerife,47,4717.127660,6323.231326,19.086059,-2754.659574
seasonal_naive_lag_12,ES-PROV-39,Cantabria,47,11536.170213,16607.493880,19.269946,-6110.808511
seasonal_naive_lag_12,ES-PROV-40,Segovia,47,5648.042553,7598.854343,27.111066,-3037.446809
seasonal_naive_lag_12,ES-PROV-41,Sevilla,47,1985.744681,2453.122084,22.014233,-1478.042553
seasonal_naive_lag_12,ES-PROV-42,Soria,47,4029.425532,5404.821317,25.026000,-2240.191489
seasonal_naive_lag_12,ES-PROV-43,Tarragona,47,2497.553191,3348.590682,24.142910,-774.829787
seasonal_naive_lag_12,ES-PROV-44,Teruel,47,4663.468085,6638.154427,27.294327,-2049.595745
seasonal_naive_lag_12,ES-PROV-45,Toledo,47,3374.361702,4242.948275,21.585569,-2773.255319
seasonal_naive_lag_12,ES-PROV-46,Valencia/València,47,2047.638298,2730.028084,19.420252,-368.276596
seasonal_naive_lag_12,ES-PROV-47,Valladolid,47,2061.255319,2907.059635,24.747237,-1126.617021
seasonal_naive_lag_12,ES-PROV-48,Bizkaia,47,2681.361702,3331.085843,26.656965,-1165.914894
seasonal_naive_lag_12,ES-PROV-49,Zamora,47,3016.702128,3949.344985,25.176413,-1040.914894
seasonal_naive_lag_12,ES-PROV-50,Zaragoza,47,2368.510638,3020.483976,22.897764,-476.680851
