evaluation_split,model,train_end,train_rows,rows,MAE,RMSE,WAPE_pct,mean_bias,negative_raw_predictions
validation_1,seasonal_naive_lag_12,2021-05,8987.000000,550,9116.563636,16454.667811,44.598291,-8782.887273,0
validation_1,hgb_raw_02,2021-05,8987.000000,550,8081.939017,16089.152822,39.536900,-7810.564448,0
validation_2,seasonal_naive_lag_12,2022-05,9537.000000,600,3071.713333,6094.109335,14.912184,-909.253333,0
validation_2,hgb_raw_02,2022-05,9537.000000,600,4133.834353,6738.015628,20.068441,3260.493254,0
validation_3,seasonal_naive_lag_12,2023-05,10137.000000,600,3209.141667,5552.102022,15.158831,-571.431667,0
validation_3,hgb_raw_02,2023-05,10137.000000,600,3404.340690,6234.744906,16.080881,33.209468,0
test,seasonal_naive_lag_12,2024-05,10737.000000,600,3045.001667,5236.815305,14.350157,-49.178333,0
test,hgb_raw_02,2024-05,10737.000000,600,2760.591232,4550.603682,13.009818,378.823313,0
validation_pooled,seasonal_naive_lag_12,expanding_folds,,1750,5018.641714,10411.374392,24.191817,-3267.999429,0
validation_pooled,hgb_raw_02,expanding_folds,,1750,5124.555134,10499.991847,24.702361,-1325.479322,0
