evaluation_split,model,validation_start,structural_train_end,availability_train_end,effective_train_end,max_training_target,train_end,train_rows_before_purge,train_rows_after_purge,train_rows_purged,train_rows,rows,MAE,RMSE,WAPE_pct,mean_bias,negative_raw_predictions
validation_1,ridge_alpha_0_01,2021-06,2021-05,2021-03,2021-03,2021-03,2021-03,8987.000000,8987.000000,0.000000,8987.000000,550,9309.499645,16171.380808,45.542135,-9008.509974,41
validation_2,ridge_alpha_0_01,2022-06,2022-05,2022-03,2022-03,2022-03,2022-03,9537.000000,9437.000000,100.000000,9437.000000,600,3137.012460,6147.000040,15.229190,-153.094007,0
validation_3,ridge_alpha_0_01,2023-06,2023-05,2023-03,2023-03,2023-03,2023-03,10137.000000,10037.000000,100.000000,10037.000000,600,3392.979070,5633.080460,16.027213,517.600565,0
validation_1,ridge_alpha_0_1,2021-06,2021-05,2021-03,2021-03,2021-03,2021-03,8987.000000,8987.000000,0.000000,8987.000000,550,9309.342289,16171.513663,45.541365,-9008.321479,41
validation_2,ridge_alpha_0_1,2022-06,2022-05,2022-03,2022-03,2022-03,2022-03,9537.000000,9437.000000,100.000000,9437.000000,600,3137.078487,6147.250695,15.229511,-152.619086,0
validation_3,ridge_alpha_0_1,2023-06,2023-05,2023-03,2023-03,2023-03,2023-03,10137.000000,10037.000000,100.000000,10037.000000,600,3393.029105,5633.175137,16.027449,518.087351,0
validation_1,ridge_alpha_1,2021-06,2021-05,2021-03,2021-03,2021-03,2021-03,8987.000000,8987.000000,0.000000,8987.000000,550,9307.804146,16172.836552,45.533841,-9006.468229,41
validation_2,ridge_alpha_1,2022-06,2022-05,2022-03,2022-03,2022-03,2022-03,9537.000000,9437.000000,100.000000,9437.000000,600,3137.732936,6149.747845,15.232688,-147.912116,0
validation_3,ridge_alpha_1,2023-06,2023-05,2023-03,2023-03,2023-03,2023-03,10137.000000,10037.000000,100.000000,10037.000000,600,3393.529997,5634.129971,16.029815,522.912305,0
validation_1,ridge_alpha_10,2021-06,2021-05,2021-03,2021-03,2021-03,2021-03,8987.000000,8987.000000,0.000000,8987.000000,550,9294.927617,16185.481006,45.470848,-8990.566819,40
validation_2,ridge_alpha_10,2022-06,2022-05,2022-03,2022-03,2022-03,2022-03,9537.000000,9437.000000,100.000000,9437.000000,600,3145.670685,6173.791049,15.271223,-104.662144,0
validation_3,ridge_alpha_10,2023-06,2023-05,2023-03,2023-03,2023-03,2023-03,10137.000000,10037.000000,100.000000,10037.000000,600,3398.965376,5644.299119,16.055490,567.265235,0
validation_1,ridge_alpha_100,2021-06,2021-05,2021-03,2021-03,2021-03,2021-03,8987.000000,8987.000000,0.000000,8987.000000,550,9238.923520,16267.614098,45.196876,-8909.969202,28
validation_2,ridge_alpha_100,2022-06,2022-05,2022-03,2022-03,2022-03,2022-03,9537.000000,9437.000000,100.000000,9437.000000,600,3233.591906,6353.919049,15.698053,138.459397,0
validation_3,ridge_alpha_100,2023-06,2023-05,2023-03,2023-03,2023-03,2023-03,10137.000000,10037.000000,100.000000,10037.000000,600,3476.975981,5753.580541,16.423984,813.595117,0
validation_1,ridge_alpha_1000,2021-06,2021-05,2021-03,2021-03,2021-03,2021-03,8987.000000,8987.000000,0.000000,8987.000000,550,8977.244654,16693.280157,43.916741,-8434.988323,8
validation_2,ridge_alpha_1000,2022-06,2022-05,2022-03,2022-03,2022-03,2022-03,9537.000000,9437.000000,100.000000,9437.000000,600,3858.800441,7711.422832,18.733240,538.019853,0
validation_3,ridge_alpha_1000,2023-06,2023-05,2023-03,2023-03,2023-03,2023-03,10137.000000,10037.000000,100.000000,10037.000000,600,4260.700496,6977.904958,20.126016,1148.669963,0
validation_1,hgb_raw_02,2021-06,2021-05,2021-03,2021-03,2021-03,2021-03,8987.000000,8987.000000,0.000000,8987.000000,550,10676.954342,19033.034221,52.231732,-10634.851556,0
validation_2,hgb_raw_02,2022-06,2022-05,2022-03,2022-03,2022-03,2022-03,9537.000000,9437.000000,100.000000,9437.000000,600,6238.440729,9565.682007,30.285631,4276.756635,0
validation_3,hgb_raw_02,2023-06,2023-05,2023-03,2023-03,2023-03,2023-03,10137.000000,10037.000000,100.000000,10037.000000,600,3959.757957,7139.429814,18.704472,298.429500,0
validation_1,seasonal_naive_lag_12,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,,,,,550,9116.563636,16454.667811,44.598291,-8782.887273,0
validation_2,seasonal_naive_lag_12,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,,,,,600,3071.713333,6094.109335,14.912184,-909.253333,0
validation_3,seasonal_naive_lag_12,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,,,,,600,3209.141667,5552.102022,15.158831,-571.431667,0
validation_pooled,seasonal_naive_lag_12,not_applicable,not_applicable,not_applicable,not_applicable,not_applicable,expanding_folds,,,,,1750,5018.641714,10411.374392,24.191817,-3267.999429,0
validation_pooled,ridge_alpha_0_01,not_applicable,expanding_folds,expanding_folds,expanding_folds,expanding_folds,expanding_folds,,,,,1750,5164.696984,10296.817246,24.895860,-2706.272315,41
validation_pooled,ridge_alpha_0_1,not_applicable,expanding_folds,expanding_folds,expanding_folds,expanding_folds,expanding_folds,,,,,1750,5164.687322,10296.951885,24.895814,-2705.883346,41
validation_pooled,ridge_alpha_1,not_applicable,expanding_folds,expanding_folds,expanding_folds,expanding_folds,expanding_folds,,,,,1750,5164.600023,10298.295133,24.895393,-2702.032807,41
validation_pooled,ridge_alpha_10,not_applicable,expanding_folds,expanding_folds,expanding_folds,expanding_folds,expanding_folds,,,,,1750,5165.138186,10311.371602,24.897987,-2666.999941,40
validation_pooled,ridge_alpha_100,not_applicable,expanding_folds,expanding_folds,expanding_folds,expanding_folds,expanding_folds,,,,,1750,5204.427811,10409.747724,25.087378,-2473.857345,28
validation_pooled,ridge_alpha_1000,not_applicable,expanding_folds,expanding_folds,expanding_folds,expanding_folds,expanding_folds,,,,,1750,5605.248641,11165.262485,27.019492,-2072.702679,8
validation_pooled,hgb_raw_02,not_applicable,expanding_folds,expanding_folds,expanding_folds,expanding_folds,expanding_folds,,,,,1750,6852.139486,12755.396698,33.029993,-1773.746671,0
