Provincias con mayor número de pernoctaciones;Viajeros y pernoctaciones;Residencia;Periodo;Total
02 Albacete;Viajero;Residentes en España;2026M06;10.370
02 Albacete;Viajero;Residentes en España;2026M05;9.220
02 Albacete;Viajero;Residentes en España;2026M04;10.789
02 Albacete;Viajero;Residentes en España;2026M03;8.434
02 Albacete;Viajero;Residentes en España;2026M02;5.363
02 Albacete;Viajero;Residentes en España;2026M01;5.289
02 Albacete;Viajero;Residentes en España;2025M12;12.222
02 Albacete;Viajero;Residentes en España;2025M11;10.124
02 Albacete;Viajero;Residentes en España;2025M10;11.233
02 Albacete;Viajero;Residentes en España;2025M09;10.998
02 Albacete;Viajero;Residentes en España;2025M08;18.670
02 Albacete;Viajero;Residentes en España;2025M07;12.311
02 Albacete;Viajero;Residentes en España;2025M06;10.389
02 Albacete;Viajero;Residentes en España;2025M05;9.791
02 Albacete;Viajero;Residentes en España;2025M04;11.271
02 Albacete;Viajero;Residentes en España;2025M03;6.402
02 Albacete;Viajero;Residentes en España;2025M02;5.689
02 Albacete;Viajero;Residentes en España;2025M01;3.551
02 Albacete;Viajero;Residentes en España;2024M12;9.695
02 Albacete;Viajero;Residentes en España;2024M11;7.005
02 Albacete;Viajero;Residentes en España;2024M10;7.043
02 Albacete;Viajero;Residentes en España;2024M09;7.282
02 Albacete;Viajero;Residentes en España;2024M08;14.852
02 Albacete;Viajero;Residentes en España;2024M07;10.224
02 Albacete;Viajero;Residentes en España;2024M06;7.838
02 Albacete;Viajero;Residentes en España;2024M05;6.457
02 Albacete;Viajero;Residentes en España;2024M04;6.966
02 Albacete;Viajero;Residentes en España;2024M03;7.755
02 Albacete;Viajero;Residentes en España;2024M02;6.445
02 Albacete;Viajero;Residentes en España;2024M01;4.859
02 Albacete;Viajero;Residentes en España;2023M12;10.647
02 Albacete;Viajero;Residentes en España;2023M11;6.323
02 Albacete;Viajero;Residentes en España;2023M10;7.942
02 Albacete;Viajero;Residentes en España;2023M09;8.030
02 Albacete;Viajero;Residentes en España;2023M08;12.176
02 Albacete;Viajero;Residentes en España;2023M07;9.807
02 Albacete;Viajero;Residentes en España;2023M06;7.624
02 Albacete;Viajero;Residentes en España;2023M05;6.872
02 Albacete;Viajero;Residentes en España;2023M04;10.336
02 Albacete;Viajero;Residentes en España;2023M03;6.539
02 Albacete;Viajero;Residentes en España;2023M02;5.208
02 Albacete;Viajero;Residentes en España;2023M01;5.981
02 Albacete;Viajero;Residentes en España;2022M12;8.918
02 Albacete;Viajero;Residentes en España;2022M11;5.690
