Provincias con mayor número de pernoctaciones;Establecimientos y personal empleado (plazas);Periodo;Total
02 Albacete;Número de establecimientos abiertos estimados;2026M06;751
02 Albacete;Número de establecimientos abiertos estimados;2026M05;665
02 Albacete;Número de establecimientos abiertos estimados;2026M04;686
02 Albacete;Número de establecimientos abiertos estimados;2026M03;633
02 Albacete;Número de establecimientos abiertos estimados;2026M02;598
02 Albacete;Número de establecimientos abiertos estimados;2026M01;617
02 Albacete;Número de establecimientos abiertos estimados;2025M12;654
02 Albacete;Número de establecimientos abiertos estimados;2025M11;700
02 Albacete;Número de establecimientos abiertos estimados;2025M10;696
02 Albacete;Número de establecimientos abiertos estimados;2025M09;700
02 Albacete;Número de establecimientos abiertos estimados;2025M08;744
02 Albacete;Número de establecimientos abiertos estimados;2025M07;713
02 Albacete;Número de establecimientos abiertos estimados;2025M06;732
02 Albacete;Número de establecimientos abiertos estimados;2025M05;735
02 Albacete;Número de establecimientos abiertos estimados;2025M04;683
02 Albacete;Número de establecimientos abiertos estimados;2025M03;579
02 Albacete;Número de establecimientos abiertos estimados;2025M02;602
02 Albacete;Número de establecimientos abiertos estimados;2025M01;553
02 Albacete;Número de establecimientos abiertos estimados;2024M12;665
02 Albacete;Número de establecimientos abiertos estimados;2024M11;683
02 Albacete;Número de establecimientos abiertos estimados;2024M10;688
02 Albacete;Número de establecimientos abiertos estimados;2024M09;662
02 Albacete;Número de establecimientos abiertos estimados;2024M08;663
02 Albacete;Número de establecimientos abiertos estimados;2024M07;683
02 Albacete;Número de establecimientos abiertos estimados;2024M06;679
02 Albacete;Número de establecimientos abiertos estimados;2024M05;651
02 Albacete;Número de establecimientos abiertos estimados;2024M04;654
02 Albacete;Número de establecimientos abiertos estimados;2024M03;678
02 Albacete;Número de establecimientos abiertos estimados;2024M02;657
02 Albacete;Número de establecimientos abiertos estimados;2024M01;638
02 Albacete;Número de establecimientos abiertos estimados;2023M12;731
02 Albacete;Número de establecimientos abiertos estimados;2023M11;712
02 Albacete;Número de establecimientos abiertos estimados;2023M10;753
02 Albacete;Número de establecimientos abiertos estimados;2023M09;755
02 Albacete;Número de establecimientos abiertos estimados;2023M08;771
02 Albacete;Número de establecimientos abiertos estimados;2023M07;786
02 Albacete;Número de establecimientos abiertos estimados;2023M06;756
02 Albacete;Número de establecimientos abiertos estimados;2023M05;758
02 Albacete;Número de establecimientos abiertos estimados;2023M04;741
02 Albacete;Número de establecimientos abiertos estimados;2023M03;723
02 Albacete;Número de establecimientos abiertos estimados;2023M02;736
02 Albacete;Número de establecimientos abiertos estimados;2023M01;724
02 Albacete;Número de establecimientos abiertos estimados;2022M12;764
02 Albacete;Número de establecimientos abiertos estimados;2022M11;764
02 Albacete;Número de establecimientos abiertos estimados;2022M10;775
02 Albacete;Número de establecimientos abiertos estimados;2022M09;731
02 Albacete;Número de establecimientos abiertos estimados;2022M08;774
02 Albacete;Número de establecimientos abiertos estimados;2022M07;763
02 Albacete;Número de establecimientos abiertos estimados;2022M06;706
02 Albacete;Número de establecimientos abiertos estimados;2022M05;747
02 Albacete;Número de establecimientos abiertos estimados;2022M04;746
02 Albacete;Número de establecimientos abiertos estimados;2022M03;712
02 Albacete;Número de establecimientos abiertos estimados;2022M02;688
02 Albacete;Número de establecimientos abiertos estimados;2022M01;656
02 Albacete;Número de establecimientos abiertos estimados;2021M12;714
